Token	ObservationDate	HoldValue	TradeValue	ASXCode	AvgHoldValue	MAAvgHoldKey	MAAvgHoldValue
BIOTECH	14/04/2016	93000	82537.5	1	93000	SM0	93000
COBALT	14/04/2016	117269.858	378598.2	12	9772.488166	SM0	117269.858
COKING COAL	14/04/2016	100045.685	26983	5	20009.137	SM0	100045.685
COPPER	14/04/2016	102948.029	3198690.1	23	4476.00126	SM0	102948.029
DIGITAL HEALTHCARE	14/04/2016	96434.884	636307.8	2	48217.442	SM0	96434.884
FINANCIAL TECHNOLOGY	14/04/2016	100780.921	867485.3	12	8398.410083	SM0	100780.921
GOLD	14/04/2016	110907.026	1934517.55	24	4621.126083	SM0	110907.026
GRAPHENE	14/04/2016	99999.753	49478.1	2	49999.8765	SM0	99999.753
GRAPHITE	14/04/2016	113835.2641	7055336.1	23	4949.359308	SM0	113835.2641
JUNIOR GOLD	14/04/2016	109441.3221	3688196.91	24	4560.055087	SM0	109441.3221
LARGE GOLD	14/04/2016	114663.2095	93479380.81	14	8190.22925	SM0	114663.2095
LITHIUM	14/04/2016	124868.1996	5059596.952	23	5429.052156	SM0	124868.1996
MEDICAL CANNABIS	14/04/2016	105852.182	1194120.1	6	17642.03033	SM0	105852.182
MEMORY TECHNOLOGY	14/04/2016	130000	12565.8	1	130000	SM0	130000
MINING SERVICES	14/04/2016	91157.4076	50415.68	1	91157.4076	SM0	91157.4076
NICKEL	14/04/2016	108180.931	670067	12	9015.077583	SM0	108180.931
OIL & GAS	14/04/2016	96775.563	40653918.9	12	8064.63025	SM0	96775.563
POTASH PHOSPHATE	14/04/2016	104552.094	40446796.7	7	14936.01343	SM0	104552.094
RENEWABLE ENERGY	14/04/2016	119658	1349670	1	119658	SM0	119658
SILVER	14/04/2016	104834.965	952665.5	8	13104.37063	SM0	104834.965
STEM CELLS THERAPEUTICS	14/04/2016	104526.08	1058418	1	104526.08	SM0	104526.08
TIN	14/04/2016	103701.309	328004.9	7	14814.47271	SM0	103701.309
URANIUM	14/04/2016	110141.6788	2001964.88	19	5796.930463	SM0	110141.6788
VANADIUM	14/04/2016	98547.473	155534.7	3	32849.15767	SM0	98547.473
ZINC	14/04/2016	98221.0044	275509.59	17	5777.706141	SM0	98221.0044
BAUXITE	15/04/2016	114612.906	31257.6	4	28653.2265	SM0	114612.906
BIO TECHNOLOGY	15/04/2016	106038.8598	590126.45	24	4418.285825	SM0	106038.8598
BIOTECH	15/04/2016	90000	194805	1	90000	SM0	90000
COBALT	15/04/2016	119463.637	440114.6	12	9955.303083	SM0	119463.637
COKING COAL	15/04/2016	100601.24	18168.6	5	20120.248	SM0	100601.24
COPPER	15/04/2016	104588.34	1158700.6	23	4547.31913	SM0	104588.34
DIGITAL HEALTHCARE	15/04/2016	95525.794	739045.4	2	47762.897	SM0	95525.794
FINANCIAL TECHNOLOGY	15/04/2016	100407.504	423774.5	12	8367.292	SM0	100407.504
GOLD	15/04/2016	112658.6424	1168868.52	24	4694.1101	SM0	112658.6424
GRAPHENE	15/04/2016	99999.753	3984.6	2	49999.8765	SM0	99999.753
GRAPHITE	15/04/2016	115000.7259	4401063.38	23	5000.03156	SM0	115000.7259
JUNIOR GOLD	15/04/2016	109799.4677	2614041.18	24	4574.97782	SM0	109799.4677
LARGE GOLD	15/04/2016	114513.8186	118732336.6	14	8179.558471	SM0	114513.8186
LITHIUM	15/04/2016	134012.3816	11962272.36	23	5826.625286	SM0	134012.3816
MEDICAL CANNABIS	15/04/2016	108491.165	1480933.8	6	18081.86083	SM0	108491.165
MEMORY TECHNOLOGY	15/04/2016	130000	335.4	1	130000	SM0	130000
MINING SERVICES	15/04/2016	88209.8889	18871.26	1	88209.8889	SM0	88209.8889
NICKEL	15/04/2016	106872.62	655849.1	12	8906.051666	SM0	106872.62
OIL & GAS	15/04/2016	96728.901	37373542.9	12	8060.74175	SM0	96728.901
POTASH PHOSPHATE	15/04/2016	104970.339	23098938.3	7	14995.76271	SM0	104970.339
RENEWABLE ENERGY	15/04/2016	122222.1	2914125.5	1	122222.1	SM0	122222.1
SILVER	15/04/2016	109259.097	1203802	8	13657.38713	SM0	109259.097
STEM CELLS THERAPEUTICS	15/04/2016	104937.6	1567230	1	104937.6	SM0	104937.6
TIN	15/04/2016	112287.628	475035.8	7	16041.08971	SM0	112287.628
URANIUM	15/04/2016	109405.9058	2431669.48	19	5758.205568	SM0	109405.9058
VANADIUM	15/04/2016	97401.086	128624.5	3	32467.02867	SM0	97401.086
ZINC	15/04/2016	99525.2694	581183.94	17	5854.427611	SM0	99525.2694
BAUXITE	18/04/2016	114976.622	76585	4	28744.1555	SM0	114976.622
BIO TECHNOLOGY	18/04/2016	105690.9777	537238.55	24	4403.790737	SM0	105690.9777
BIOTECH	18/04/2016	85000	208037.5	1	85000	SM0	85000
COBALT	18/04/2016	119464.688	1758605.8	12	9955.390666	SM0	119464.688
COKING COAL	18/04/2016	100601.24	14728.6	5	20120.248	SM0	100601.24
COPPER	18/04/2016	104871.168	1489813.1	23	4559.616	SM0	104871.168
DIGITAL HEALTHCARE	18/04/2016	95525.794	771639	2	47762.897	SM0	95525.794
FINANCIAL TECHNOLOGY	18/04/2016	100519.882	507034.7	12	8376.656833	SM0	100519.882
GOLD	18/04/2016	115842.9656	781754.88	24	4826.790233	SM0	115842.9656
GRAPHENE	18/04/2016	83333.087	6906	2	41666.5435	SM0	83333.087
GRAPHITE	18/04/2016	120272.6159	6498728.2	23	5229.244169	SM0	120272.6159
JUNIOR GOLD	18/04/2016	113109.4116	2803795.2	24	4712.89215	SM0	113109.4116
LARGE GOLD	18/04/2016	117556.0359	111988668	14	8396.859707	SM0	117556.0359
LITHIUM	18/04/2016	132700.8156	11039451.27	23	5769.600678	SM0	132700.8156
MEDICAL CANNABIS	18/04/2016	119305.135	4488966.352	6	19884.18917	SM0	119305.135
MEMORY TECHNOLOGY	18/04/2016	150000	146511	1	150000	SM0	150000
MINING SERVICES	18/04/2016	85262.3702	11112.82	1	85262.3702	SM0	85262.3702
NICKEL	18/04/2016	111079.164	819633.7	12	9256.597	SM0	111079.164
OIL & GAS	18/04/2016	94768.504	52184925.1	12	7897.375333	SM0	94768.504
POTASH PHOSPHATE	18/04/2016	105047.613	19591172.1	7	15006.80186	SM0	105047.613
RENEWABLE ENERGY	18/04/2016	122222.1	1788644	1	122222.1	SM0	122222.1
SILVER	18/04/2016	108125.319	1699422.6	8	13515.66488	SM0	108125.319
STEM CELLS THERAPEUTICS	18/04/2016	102468.48	1762671	1	102468.48	SM0	102468.48
TIN	18/04/2016	116654.5	837460.5	7	16664.92857	SM0	116654.5
URANIUM	18/04/2016	104675.3018	2659276.92	19	5509.22641	SM0	104675.3018
