ASXCode	TimeFrame	TimeIntervalStart	Open	High	Low	Close	Volume	FirstSale	LastSale	SaleValue	NumOfSale	AverageValuePerTransaction	VWAP	ObservationDate
NQMAIN.US	30M	2024-07-08 19:00:00	20689.0000	20722.2500	20688.2500	20720.5000	3717	NULL	NULL	NULL	2120	NULL	20709.900000	2024-07-08
NQMAIN.US	30M	2024-07-08 19:30:00	20721.0000	20740.0000	20718.2500	20738.5000	4285	NULL	NULL	NULL	2458	NULL	20728.325000	2024-07-08
NQMAIN.US	30M	2024-07-08 20:00:00	20738.0000	20748.7500	20733.5000	20738.2500	6612	NULL	NULL	NULL	3326	NULL	20742.375000	2024-07-08
NQMAIN.US	30M	2024-07-08 20:30:00	20738.5000	20739.0000	20721.7500	20728.5000	3539	NULL	NULL	NULL	2094	NULL	20730.225000	2024-07-08
NQMAIN.US	30M	2024-07-08 21:00:00	20728.7500	20735.7500	20726.2500	20732.2500	1038	NULL	NULL	NULL	767	NULL	20731.425000	2024-07-08
NQMAIN.US	30M	2024-07-08 21:30:00	20732.0000	20737.5000	20709.0000	20711.0000	4588	NULL	NULL	NULL	2632	NULL	20722.575000	2024-07-08
NQMAIN.US	30M	2024-07-08 22:00:00	20711.0000	20715.0000	20704.0000	20714.0000	2985	NULL	NULL	NULL	1857	NULL	20709.525000	2024-07-08
NQMAIN.US	30M	2024-07-08 22:30:00	20714.0000	20721.5000	20713.0000	20715.5000	1476	NULL	NULL	NULL	902	NULL	20716.900000	2024-07-08
NQMAIN.US	30M	2024-07-08 23:00:00	20715.2500	20726.0000	20714.7500	20724.5000	1165	NULL	NULL	NULL	801	NULL	20721.250000	2024-07-08
NQMAIN.US	30M	2024-07-08 23:30:00	20724.5000	20736.0000	20724.5000	20734.2500	1417	NULL	NULL	NULL	974	NULL	20732.175000	2024-07-08
NQMAIN.US	30M	2024-07-07 18:00:00	20591.5000	20618.0000	20581.2500	20603.2500	3995	NULL	NULL	NULL	2587	NULL	20604.200000	2024-07-07
NQMAIN.US	30M	2024-07-07 18:30:00	20603.5000	20606.7500	20597.5000	20600.0000	1321	NULL	NULL	NULL	835	NULL	20601.700000	2024-07-07
NQMAIN.US	30M	2024-07-07 19:00:00	20600.0000	20608.7500	20597.0000	20600.7500	1040	NULL	NULL	NULL	692	NULL	20603.750000	2024-07-07
NQMAIN.US	30M	2024-07-07 19:30:00	20601.5000	20602.2500	20586.7500	20590.7500	1830	NULL	NULL	NULL	1145	NULL	20593.450000	2024-07-07
NQMAIN.US	30M	2024-07-07 20:00:00	20590.5000	20599.5000	20583.7500	20595.2500	1993	NULL	NULL	NULL	1332	NULL	20591.725000	2024-07-07
NQMAIN.US	30M	2024-07-07 20:30:00	20595.5000	20595.5000	20583.7500	20588.2500	1137	NULL	NULL	NULL	845	NULL	20588.725000	2024-07-07
